X,Y,Z,azimuth,dip,polarity,formation
424591.0841,5191462.789,-5247.332347,153.6223424,8.365886124,1,fault_2
425365.0296,5189902.158,-5497.591353,153.6223424,7.787017955,1,fault_2
452601.7743,5229957.06,-1258.197663,161.3440227,2.251033686,1,fault_2
454757.1095,5223573.249,-1489.989575,161.3440227,1.549978173,1,fault_2
455754.0283,5220620.511,-1553.494208,161.34402271,1.306901349,1,fault_2
456098.3537,5219600.666,-1524.917123,161.3440227,1.65628392,1,fault_2
456516.3181,5218362.712,-1558.257055,161.3440227,4.624151328,1,fault_2
456846.9315,5217383.48,-1624.93692,161.3440227,2.121096397,1,fault_2
457069.3719,5216724.642,-1647.163542,161.3440227,1.468800714,1,fault_2
457392.3675,5215767.973,-1869.429759,161.3440227,17.02052561,1,fault_2
457803.2219,5214551.078,-2328.250734,161.3440227,22.70825019,1,fault_2
458067.3063,5213768.895,-2668.000523,161.3440227,21.54097592,1,fault_2
458284.6681,5213125.099,-2868.040118,161.3440227,13.44861505,1,fault_2
458603.093,5212181.968,-3009.337927,161.3440227,3.749064522,1,fault_2
458925.0729,5211228.307,-3074.430176,161.3440227,3.639352145,1,fault_2
459247.0527,5210274.646,-3123.646267,161.3440227,2.121096397,1,fault_2
459486.7601,5209564.666,-3131.584346,161.3440227,3.782645447,1,fault_2
459690.9177,5208959.979,-3090.306334,161.3440227,3.665184649,1,fault_2
459978.3635,5208108.603,-3077.605408,161.3440227,2.009553813,1,fault_2
460293.7412,5207174.497,-3131.584346,161.3440227,4.08561678,1,fault_2
460555.2864,5206399.836,-3199.851827,161.3440227,6.058987724,1,fault_2
460727.4491,5205889.913,-3264.944076,161.3440227,7.82907651,1,fault_2
461053.9997,5204922.715,-3309.397319,161.3440227,0.711712206,1,fault_2
461373.9481,5203975.071,-3372.901952,161.3440227,13.02307967,1,fault_2
461664.9488,5203113.166,-3455.457976,161.3440227,2.419509217,1,fault_2
462127.6044,5201742.843,-3463.396055,161.3440227,1.535395525,1,fault_2
462490.2127,5200668.846,-3444.344665,161.3440227,0.25019832,1,fault_2
462901.0671,5199451.951,-3541.189231,161.3440227,5.906141114,1,fault_2
471700,5231440,-2000,161.3440227,1.184240213,1,fault_2
450000,5190000,-4000,160,0,1,fault_2
420967.166,5198770.278,4.426504574,153.6223424,69.50416048,1,fault_3
421122.5001,5198457.053,-658.023806,153.6223424,53.49529714,1,fault_3
421324.707,5198049.311,-1210.065731,153.6223424,47.68796897,1,fault_3
421627.7448,5197438.247,-1904.411798,153.6223424,44.17684142,1,fault_3
422011.9924,5196663.426,-2671.136694,153.6223424,38.69948677,1,fault_3
422432.2121,5195816.07,-3393.698237,153.6223424,36.23011769,1,fault_3
422946.1773,5194779.679,-4121.166819,153.6223424,28.62577939,1,fault_3
423473.7684,5193715.812,-4660.941146,153.6223424,19.12894182,1,fault_3
423880.3623,5192895.932,-4955.363506,153.6223424,15.89526837,1,fault_3
424398.6878,5191850.748,-5177.407036,153.6223424,8.32775842,1,fault_3
425200.4299,5190234.067,-5419.078723,153.6223424,7.073537675,1,fault_3
457133.8694,5216533.609,262.7383049,161.3440227,45,1,fault_3
457287.7494,5216077.837,-146.86658,161.3440227,35.90177085,1,fault_3
457492.9227,5215470.142,-445.3383566,161.3440227,16.19627894,1,fault_3
457710.7923,5214824.841,-678.717884,161.3440227,22.27275353,1,fault_3
457929.6777,5214176.533,-964.4887339,161.3440227,22.97054881,1,fault_3
458139.9295,5213553.795,-1283.599516,161.3440227,29.81699678,1,fault_3
458288.2231,5213114.57,-1482.051495,161.3440227,12.57893524,1,fault_3
458444.6423,5212651.277,-1543.968513,161.3440227,3.671700098,1,fault_3
458682.8262,5211945.809,-1618.586457,161.3440227,7.074998221,1,fault_3
458892.0623,5211326.08,-1717.018639,161.3440227,11.73308416,1,fault_3
459060.6701,5210826.687,-1885.305917,161.3440227,21.35992677,1,fault_3
459263.8119,5210225.008,-2179.014846,161.3440227,28.16252737,1,fault_3
459455.2731,5209657.926,-2529.877945,161.3440227,32.71904559,1,fault_3
459645.7186,5209093.852,-2852.163959,161.3440227,24.17910715,1,fault_3
459790.2033,5208665.908,-3018.069814,161.3440227,10.56101069,1,fault_3
459975.3163,5208117.628,-3071.254944,161.3440227,3.524635062,1,fault_3
460257.9374,5207280.543,-3122.852459,161.3440227,3.162860297,1,fault_3
460450.9222,5206708.948,-3161.749047,161.3440227,5.168467976,1,fault_3
460557.8256,5206392.315,-3191.11994,161.3440227,4.89177218,1,fault_3
460686.0589,5206012.505,-3235.573183,161.3440227,7.448717874,1,fault_3
460785.8524,5205716.931,-3273.675963,161.3440227,5.710593137,1,fault_3
461054.5075,5204921.21,-3289.552121,161.3440227,0.543930933,1,fault_3
461371.4088,5203982.592,-3352.262947,161.3440227,13.13402231,1,fault_3
461664.187,5203115.422,-3442.757049,161.3440227,2.952851014,1,fault_3
462126.8427,5201745.099,-3458.633207,-18.65597731,1.418800443,1,fault_3
462491.7362,5200664.334,-3437.994202,-18.65597731,0.244852268,1,fault_3
463021.6826,5199094.705,-3572.147739,161.3440227,6.02926939,1,fault_3
470000,5224000,100,153.6223424,69.50416048,1,fault_3
463133,5213500,262.7,161.3,45,1,fault_3
491000,5219500,-3000,161.3,0,1,fault_3
490000,5210000,-4000,161,0,1,fault_3
450000,5190000,-4000,160,0,1,fault_3
421673.5275,5197345.928,-78.99316417,153.6223424,59.09668203,1,fault_4
421922.0621,5196844.767,-767.2054313,153.6223424,44.29763509,1,fault_4
422229.4602,5196224.911,-1349.916353,153.6223424,35.06187603,1,fault_4
422593.5416,5195490.755,-1868.222383,153.6223424,30.28362377,1,fault_4
423036.9252,5194596.69,-2388.981932,153.6223424,24.87874165,1,fault_4
423565.8788,5193530.075,-2888.273185,153.6223424,21.07938369,1,fault_4
424290.7714,5192068.358,-3446.44891,153.6223424,17.30382024,1,fault_4
425033.6501,5190570.372,-3913.844407,153.6223424,13.31718439,1,fault_4
425587.4027,5189453.751,-4191.092129,153.6223424,11.48794808,1,fault_4
