X,Y,Z,formation
412400,5190000,-6000,mesozoic
490000,5200000,-6000,mesozoic
480000,5210000,-6000,mesozoic
470000,5210000,-6000,mesozoic
450000,5190000,-6000,mesozoic
440000,5190000,-6000,mesozoic
430000,5185000,-6000,mesozoic
440000,5200000,-6000,mesozoic
445000,5200000,-6000,mesozoic
459000,5190000,-6000,mesozoic
416975.8962,5206818.517,-2519.018475,fault_1
418044.1591,5204664.407,-2479.76216,fault_1
419064.4591,5202607.012,-2283.480587,fault_1
419657.4539,5201411.261,-2077.384934,fault_1
420363.8155,5199986.911,-1527.796529,fault_1
420782.4001,5199142.851,-1066.534831,fault_1
421017.8539,5198668.068,-359.9211662,fault_1
453036.4979,5228669.468,-1328.05276,fault_1
454377.2342,5224698.388,-1429.660173,fault_1
455852.0442,5220330.201,-1543.968513,fault_1
456437.0928,5218597.367,-1010.529593,fault_1
456762.1198,5217634.681,-477.0906732,fault_1
456888.0678,5217261.64,564.3853131,fault_1
456722,5216174.2,1000,fault_1
450683,5213032,1000,fault_1
443251.9,5210057.9,1000,fault_1
433308.5,5204915.6,1000,fault_1
456000,5216000,800,fault_1
470000,5224000,800,fault_1
471844,5232440,-2000,fault_1
415000,5197000,700,fault_1
461000,5218500,700,fault_1
490000,5232640,500,fault_1
485000,5230000,500,fault_1
453893.7566,5226130.384,-1416.959246,fault_2
455620.4625,5221016.115,-1563.019903,fault_2
455887.5941,5220224.908,-1543.968513,fault_2
456309.1134,5218976.424,-1505.865733,fault_2
456723.5228,5217749,-1610.648378,fault_2
456970.3402,5217017.96,-1639.225463,fault_2
457168.4035,5216431.324,-1655.101621,fault_2
457616.3314,5215104.622,-2083.757896,fault_2
457990.1124,5213997.533,-2572.743573,fault_2
458144.5002,5213540.257,-2763.257473,fault_2
458424.836,5212709.941,-2972.822763,fault_2
458781.35,5211653.995,-3045.853091,fault_2
459068.7957,5210802.62,-3103.007261,fault_2
459425.3097,5209746.673,-3144.285272,fault_2
459548.2105,5209382.658,-3118.883419,fault_2
459833.6249,5208537.299,-3061.729249,fault_2
460123.102,5207679.907,-3093.481566,fault_2
460464.3804,5206669.087,-3169.687126,fault_2
460646.1923,5206130.585,-3230.016527,fault_2
460808.7058,5205649.242,-3299.871624,fault_2
461299.2935,5204196.188,-3318.923014,fault_2
461448.6027,5203753.954,-3426.880891,fault_2
461881.2949,5202472.378,-3484.035061,fault_2
462373.9139,5201013.308,-3442.757049,fault_2
462606.5114,5200324.385,-3445.932281,fault_2
417021.6789,5206726.198,-2548.460711,fault_2
418164.0661,5204422.619,-2499.390317,fault_2
418364.6379,5204018.174,-2455.226963,fault_2
418892.2289,5202954.307,-2553.36775,fault_2
419554.9879,5201617.88,-2842.883071,fault_2
420187.2251,5200342.998,-3387.564438,fault_2
420806.3815,5199094.494,-4133.434417,fault_2
422977.7892,5194715.935,-4751.721373,fault_2
